A§o,Fecha,Divisi¢n,Brigada,Unidad Reporta Informaci¢n,GAO,FG/BLOQUE/ESTRUCTURA,SE/CM/CP./FU/FT,Tipo de Afectaci¢n,Actividad,Tipo de Actividad,Pa°s,Departamento,Municipio,Vereda o Sitio,Informaci¢n
2023,04/01/2023,DIV3,Medio Abiertos,Whatsapp,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA URIAS ROND‡N,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Nari§o,San AndrÇs de Tumaco,corregimiento_Llorente,"Se conoci¢ la distribuci¢n de un panfleto por redes sociales, fechado el 04 de enero del a§o 2023, difundido al parecer por el Estado Mayor del GAO RESIDUAL Comando Coordinador de Occidente ?CCO?, en el cual, ponen en conocimiento ante la opini¢n p£blica el asesinato de un comunero ind°gena y otro que resulto herido, sobre el sector de Casa Vieja del corregimiento de Llorente del municipio de Tumaco (Nari§o), al parecer por parte de un actor armado, posiblemente (GAO RESIDUAL E Iv†n R°os Segunda Marquetalia), posteriormente, la Columna M¢vil Ur°as Rond¢n decreta el cese de hostilidades en contra de los grupos armados que existen en la regi¢n, como gesto de paz con las comunidades, mientras adelantan los di†logos con el Gobierno Nacional."
2023,10/01/2023,DIV8,BR18,GMRPI18,GAO ELN,FG ORIENTAL,FT. DOMINGO LA÷N SANZ,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Arauca,Saravena,barrio el gaitan,"Barrio el Gait†n del municipio de Saravena (Arauca, en coordenadas aproximadas N 06¯ 56' 55"""""""" W 71¯52'16"""""""", se tuvo conocimiento de las actividades de proselitismo efectuadas por parte de integrantes ?RAT? de la Comisi¢n Ernesto Che Guevara, los cuales el d°a anterior habr°an dejado sobre el sitio en menci¢n, una pancarta alusiva a este Grupo Armado Organizado Ilegal, en la cual hacen referencia de la fecha conmemorativa ?20 a§os de la voz de la libertad?, asimismo dentro de la misma se incluye el mensaje ?La voz de los que no tienen voz?. "
2023,11/01/2023,DIV8,BR18,BIRAN18,GAO ELN,FG ORIENTAL,BATALL‡N HêROES Y MµRTIRES,Poblaci¢n Civil,Confrontaci¢n,GAOr Disidencias FARC y GAO ELN,Colombia,Arauca,Puerto Rond¢n,vereda el paisaje,"Vereda El Paisaje municipio de Puerto Rond¢n (Arauca), coordenadas aproximadas (N06¯31'07""""""""-W71¯01'15""""""""), siendo aproximadamente las 20:30 horas del 10-ENERO-2023, posible desarrollo de enfrentamientos entre presuntos integrantes del GAO Residual Disidencias FARC E-10 y supuestos integrantes del GAO ELN, producto de los cuales habr°an perdido la vida al parecer (a. Solin) posible cabecilla de finanzas del GAO Residual Disidencias FARC E-10 y (a. Fabi†n izquierdo) al parecer segundo cabecilla de la compa§°a Uriel Londo§o del GAO Residual Disidencias FARC."
2023,12/01/2023,DIV3,Medio Abiertos,Whatsapp,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA  JAIME MART÷NEZ,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Valle del Cauca,Jamund°,corregimiento_Villa_Colombia,"Se conoci¢ la distribuci¢n de un panfleto por redes sociales, con fecha del d°a 10 de enero del a§o 2023, difundido al parecer por el Frente Jaime Mart°nez del Comando Coordinador de Occidente ?CCO? (GAO RESIDUAL E JM), en el cual dan a conocer al personal de administradores de los centros comerciales del municipio de Jamund° (Valle de Cauca), para que asistan a una reuni¢n en el corregimiento de Villa Colombia el d°a 14 de enero del a§o 2023 en mencionado municipio, con el fin de tocar temas de posibles pago de impuestos a la estructura."
2023,13/01/2023,DIV7,BR4,BAACA4,GAO-R FACCI‡N CALARCµ,BLOQUE MAGDALENA MEDIO,ESTRUCTURA 36,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Antioquia,Brice§o,µrea general,"13-ENE-2023 PRISELITISMO: se conoci¢ por Twitter, la difusi¢n de un video de autor°a del ?Frente 36 de las FARC? al parecer gravado el 05-ENE-2023; el sujeto llamado Maicol da lectura a un comunicado presuntamente con el prop¢sito de dar a conocer p£blicamente a la comunidad del municipio de Brice§o (Antioquia), una situaci¢n de posible fraccionamiento del mando y control de una comisi¢n de esta estructura armada ilegal liderada por un sujeto llamado Indio, la cual supuestamente luego de una reuni¢n retoma su lineamiento con la ESTRUCTURA 36 . "
2023,13/01/2023,DIV7,BR4,BAJES4,GAO-R FACCI‡N CALARCµ,BLOQUE MAGDALENA MEDIO,ESTRUCTURA 36,Poblaci¢n Civil,Proselitismo,Video,Colombia,Antioquia,Yarumal,CEDE•O,"El 13 de enero de 2023 se conoci¢ por Twitter la difusi¢n de un video de autor°a del ?Frente 36 de las FARC? al parecer gravado el 05-ENE-2023; en este contenido audiovisual un sujeto llamado Maicol da lectura a un comunicado presuntamente con el prop¢sito de dar a conocer p£blicamente a la comunidad del municipio de Brice§o (Ant.) una situaci¢n de posible fraccionamiento del mando y control de una comisi¢n de esta estructura armada ilegal liderada por un sujeto llamado Indio, la cual supuestamente luego de una reuni¢n retoma su lineamiento con la ESTRUCTURA 36 ."
2023,13/01/2023,DIV3,Medio Abiertos,Noticiero,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA CARLOS PATI•O,Fuerza P£blica,Retenci¢n ilegal,Suboficial,Colombia,Cauca,Argelia,corregimiento_El_Plateado,"El d°a 13 del mes de enero del presente a§o, se conoci¢ la difusi¢n de un video por medios abiertos red social, con duraci¢n de 2 minutos, el en cual se muestran al parecer integrantes del GAO RESIDUAL E Carlos Pati§o, vistiendo prendas camuflados pixelados de uso del Ejercito Nacional y portando fusiles AK-47, donde manifiestan una prueba de supervivencia del se§or Sargento Segundo Juan Gabriel Chichanoi, adscrito al Batall¢n de Infanter°a No. 34 """"""""JUANAMBÈ No. ubicado en el municipio de Florencia Caquet†, quien habr°a sido traslado al Batall¢n de Infanter°a 40 ?General Luciano D'ElHuyar? ubicado en el municipio de San Vicente de Chucuri en el departamento de Santander."
2023,15/01/2023,DIV4,BR22,BICAM24,GAO-R FACCI‡N MORDISCO,BLOQUE AMAZONAS,ESTRUCTURA 1 ARMANDO RIOS,Poblaci¢n Civil,Confrontaci¢n,GAOr Disidencias FARC y Delincuencia Com£n,Colombia,Guaviare,Calamar,La Argelia,"Herido por arma de fuego en la vereda la Argelia, municipio de Calamar en el sector conocido como la hacienda , 3 hombres armados de civil con arma corta identific†ndose como guerrilla de la segunda marquetalia adelantaban una reuni¢n para el cobro de extorsi¢n y vacunas, manifiestan los pobladores que llegaron aproximadamente 20 sujetos  disparando, el se§or Clodo Mir¢ S†nchez Ariza,es herido con tres impactos de bala sector espalda, zona lumbar costado derecho, al momento el herido se encuentra en el hospital de calamar recibiendo la debida atenci¢n mÇdica."
2023,16/01/2023,DIV3,Medio Abiertos,Whatsapp,GAO ELN,SIN ESTABLECER,<Nulo>,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Cauca,Pat°a,corregimiento_El_Estrecho,"El d°a 16 de enero de 2023, se conoci¢ la difusi¢n de un panfleto (FALSO), alusivo al GAO ELN, sin fecha, dirigido a los habitantes del corregimiento de El Estrecho municipio de El Bordo Pat°a (Cauca), en donde indican a expendedores y consumidores de alucin¢genos, al igual que a los sujetos identificados con los alias de Trino, Chemerro, Africano y Daniel, para que abandonen la zona en un lapso de 48 horas, de lo contrario citan que ser†n dados de baja."
2023,16/01/2023,DIV3,FUDRA4,BADRA12,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA CARLOS PATI•O,Poblaci¢n Civil,Constre§imiento,Poblaci¢n Civil,Colombia,Cauca,Balboa,casco_urbano,"30 integrantes del GAO RESIDUAL E Carlos Pati§o, al mando del sujeto (a. Jeffer) quien se ha desempe§ado como cabecilla de comisi¢n, en el casco urbano del municipio de Balboa Cauca, intimidando a toda la poblaci¢n civil que se encontraba en la celebraci¢n de los carnavales de blancos y negros, Con estas acciones se evidencia la flagrante violaci¢n a los DD.HH y D.I.H. adem†s de ir en contra de los anuncios del Gobierno Nacional en relaci¢n al cese al fuego y hostilidades por parte de estos GAOr afectando la libre y sana convivencia de la poblaci¢n civil."
2023,18/01/2023,DIV3,Medio Abiertos,Facebook,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA CARLOS PATI•O,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Cauca,Balboa,perimetro_Urbano,"Se conoci¢ la distribuci¢n de un panfleto (FALSO) por redes sociales, con fecha del d°a 17 de enero del a§o 2023, difundido al parecer por el GAO RESIDUAL E Carlos Pati§o), donde hacen el llamado de car†cter obligatorio al propietario de DISTRICAMPO ubicado en el municipio de Balboa (Cauca), con la intenci¢n de acordar pagos extorsivos por parte de la organizaci¢n armada."
2023,18/01/2023,DIV4,Medio Abiertos,Whatsapp,GAO-R FACCI‡N CALARCµ,BLOQUE JORGE SUµREZ BRICE•O,ESTRUCTURA JORGE BRICE•O SUµREZ,Poblaci¢n Civil,Proselitismo,Video,Colombia,Meta,La Macarena,san JosÇ de caquetania,"mediante la difusi¢n por medios sociales (WhatsApp), se conoci¢ un video tipo comunicado y parte de guerra, emitido por las ?FUERZAS ARMADAS REVOLUCIONARIAS DE COLOMBIA, FRENTE JORGE BRICE•O SUAREZ FARC-EP?, dentro del contenido se evidencia la locuci¢n de los sujetos (a. êrica Castro) y (a. Karol Amado), presuntas integrantes del GAOr E ?Jorge Brice§o Suarez?, donde pretenden dar a conocer sus estrategias subversivas durante el mandato del expresidente Iv†n Duque y la aceptaci¢n de un eventual proceso de Paz con el actual gobierno, as° mismo, emiten un parte de guerra de las acciones cometidas desde el a§o 2018 hasta diciembre del 2022, desarrolladas en los departamentos del Caquet†, Meta y Guaviare."
2023,18/01/2023,DIV3,BR3,BIPIC8,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,COMANDO COORDINADOR DE OCCIDENTE,Poblaci¢n Civil,Proselitismo,Pancarta,Colombia,Cauca,Santander de Quilichao,vereda_Nuevo_MÇxico,"Destrucci¢n de una Pancarta alusiva al Comando coordinador de occidente FARC EP, ubicada en la v°a Panamericana Km 72+440 mts sector variante de la vereda nuevo MÇxico del municipio de Santander de Quilichao (Cauca), mencionada actividad se realiza para causar temor y zozobra a la poblaci¢n civil de la zona de injerencia del GAOr Jaime Mart°nez al igual que demostrar su presencia ante la Fuerza P£blica y otros Grupos Subversivos que pretendan ingresar a estas zonas de financiamiento delictivo"
2023,18/01/2023,DIV8,BR18,BIRAN18,GAO ELN,FG ORIENTAL,FT. DOMINGO LA÷N SANZ,Poblaci¢n Civil,RetÇn Ilegal,Control Ilegitimo del Territorio,Colombia,Arauca,Tame,CENTRO POBLADO BETOYES,"la se§ora Rosa Bernal (Esposa) en el desplazamiento que realizaba en la ruta Bogot† - Arauca con el hijo y un sobrino, 04 sujetos en civil presuntamente integrantes de la comisi¢n Martha Helena Bar¢n, moviliz†ndose en un veh°culo portando armas de fuego largo y corto alcance, realizan reten ilegal, al paso de su veh°culo TOYOTA-TXL de placas GHN346, quienes hacen caso omiso al pare, por lo cual estos sujetos proceden a disparar indiscriminadamente contra los pasajeros del veh°culo, resultado de esta acci¢n hieren al conductor del m¢vil, el se§or JAIRO MêNDEZ GARC÷A de cÇdula 5.626.247 de Charala Santander de ocupaci¢n ingeniero civil, el cual presenta lesi¢n muslo pierna izquierda."
2023,19/01/2023,FTCEC,FUDRA2,BADRA5,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA URIAS ROND‡N,Poblaci¢n Civil,Confrontaci¢n,GAOr Disidencias FARC y GAOr 2M,Colombia,Nari§o,San AndrÇs de Tumaco,vereda_Brisas_del_Mataje,"Confrontaci¢n armada entre integrantes del GAO RESIDUAL E-Ur°as Rond¢n contra integrantes del GAO RESIDUAL E-Oliver Sinisterra y GAO RESIDUAL BOAC, en la vereda Brisas del Mataje del municipio de Tumaco (Nari§o), se desconoce el saldo de heridos y muertos que se pueden haber presentado."
2023,19/01/2023,DIV7,BR14,BIBOM42,GAO-R FACCI‡N CALARCµ,BLOQUE MAGDALENA MEDIO,ESTRUCTURA 36,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Antioquia,Anor°,<Nulo>,"El 19 de enero del a§o en curso fue difundido un comunicado de autor°a de la Estructura 36 Disidencias FARC-EP en donde dan a conocer a la opini¢n p£blica el inconformismo de la poblaci¢n civil respecto al mal estado de las v°as terciarias de municipio de Anor° (Ant.) y una supuesta ?pÇsima administraci¢n del actual alcalde Camilo Piedrahita?, por £ltimo, exigen a las entidades gubernamentales y empresas de la regi¢n que tendr†n un plazo hasta el 27 de febrero del a§o en curso para solucionar el mal estado de las carreteras de las tres zonas del municipio; Dos Bocas, Norizal y La Plancha, de lo contrario no se har†n responsables de sus veh°culos.  "
2023,21/01/2023,DIV3,Medio Abiertos,Whatsapp,GAO-R FACCI‡N MORDISCO,BLOQUE CENTRAL,ESTRUCTURA ADAN IZQUIERDO,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Valle del Cauca,Trujillo,Per°metro_Urbano,"Se conoci¢ la difusi¢n de un panfleto (VER÷DICO) por redes sociales, elaborado por el GAO RESIDUAL E Ad†n Izquierdo, bajo el direccionamiento del Comando Coordinador de Occidente (CCO), donde env°an un mensaje a la poblaci¢n civil del municipio de Trujillo (Valle del Cauca), en el cual, manifiestan que van a iniciar la campa§a pol°tico militar por la liberaci¢n del territorio quien viene siendo ocupado por grupos delincuenciales y consumidores de sustancias alucin¢genas que habitan en mencionado municipio."
2023,22/01/2023,DIV8,BR18,BIRAN18,GAO ELN,FG ORIENTAL,FT. DOMINGO LA÷N SANZ,Infraestructura,Sabotaje,Oleoducto,Colombia,Arauca,Tame,VEREDA COROCITO,"siendo aproximadamente las 12:30 horas del d°a 21 enero 2023, la unidad BALLESTA 1 agregada operacionalmente al BIRAN 18, se encontraba realizando seguridad f°sica en la v†lvula N¯ 26, con 08 trabajadores del (OBC), efectuando labores de seguridad de puntos cr°ticos, registros con el grupo Exde, ubican lo que al parecer seria sistema de activaci¢n para un artefacto explosivo improvisado (AEI), teniendo en cuenta que en la v†lvulas se encuentra personal de trabajadores no se realiz¢ la destrucci¢n del mismo, £nicamente se hizo la demarcaci¢n del lugar y el d°a de hoy posiblemente se proceder† con la destrucci¢n de manera controlada, en la zona delinquen integrantes de la comisi¢n Martha Helena Bar¢n del Frente Domingo La°n Sanz del GAO ELN. "
2023,22/01/2023,DIV7,BR15,BATOT26,GAO ELN,FG OCCIDENTAL,FT. ERNESTO CHE GUEVARA,Fuerza P£blica,Acci¢n Terrorista,A.E.I,Colombia,Choc¢,Istmina,EN NEGRIAS ,"ACTIVACI‡N ARTEFACTO EXPLOSIVO GAO ELN FRENTE ERNESTO CHE GUEVARA SEGÈN RADIOGRAMA NO. 2023-00014/MD-COEJC-DIV07-FTCTI-BR15-BATOT26, AMPLIACI‡N (NO), EN NEGRIAS DEL MUNICIPIO DE ISTMINA (CHOC‡), EN COORDENADAS 4ß 44' 48"""""""""""""""" N - 76ß 53' 34"""""""""""""""" W, TROPAS DEL BATALL‡N DE OPERACIONES TERRESTRES N¯ 26 EN DESARROLLO DE LA L÷NEA DE OPERACIONES SIMON BOLIVAR, EN MARCO DE OPERACIONES ESTABILIDAD. LA UNIDAD BOYACµ 3 AL MANDO DEL SS. MURCIA CARDOZO JOSê ORGANIZADO A 00- 04-25 MEDIANTE TAREAS DE RECONOCIMIENTO REPORTA LA AFECTACI‡N DE UN PERSONAL POR MINA ANTIPERSONA, PERSONAL ASESINADO SLP. BECERRA VELµZQUEZ DANIEL CC. 1.042.775.283, PERSONAL ATURDIDO CS BELTRµN MOPAN ‡SCAR CC. 118320719 O+, SLP. SOLANO SµNCHEZ PEDRO, CC. 1071432535 A+, SLP. CONTRERAS LARGACHA JAIR CC. 1007446517 A+, SLP. L‡PEZ MORENO LUIS CARLOS CC. 1128628373 O+, MATERIAL DE GUERRA PERDIDO FUSIL GALIL AR CAL 5.56 MM NO 08461095 MUNICI‡N CAL 5.56 MM 500 CARTUCHOS PROVEEDORES METµLICOS 05 GRANADAS DE MANO 02 CASCO KEVLAR 01 RADIO DE COMUNICACIONES PRC 9-30 NO.1589 CON ACCESORIOS (DESTRUIDO). PENDIENTE AMPLIAR INFORMACION, RESULTADOS: ASESINADO(A) POR ACCION DE MINAS - 1 PER(S) - SOLDADOS - EJERCITO - SLP MASCULINO DANIEL BECERRA VELAZQUEZ CC 1042775283 NO APLICA HERIDO(A) POR ACCION DE MINAS - 1 PER(S) - SOLDADOS - EJERCITO - SLP MASCULINO LUIS CARLOS LOPEZ MORENO CC 1128628373 NO APLICA HERIDO(A) POR ACCION DE MINAS - 1 PER(S) - SOLDADOS - EJERCITO - SLP MASCULINO PEDRO SOLANO SANCHEZ CC 1071432535 NO APLICA HERIDO(A) POR ACCION DE MINAS - 1 PER(S) - SUBOFICIALES - EJERCITO - CS MASCULINO OSCAR BELTRAN MOPAN CC 1118310719 "
2023,23/01/2023,DIV1,BR2,BIVER2,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Bol°var,El Carmen de Bol°var,el Salado,"PANFLETO: Mediante recolecci¢n de informaci¢n t†ctica se logra tener conocimiento de la entrega de panfletos alusivos a las AGC, en el departamento de Bol°var sector norte del corregimiento del Salado municipio del carmen de Bol°var, distribuyen panfleto en el cual al parecer expresan la conmemoraci¢n de los 120 a§os de vida y lucha gaitanista cumplidos el d°a de hoy 23 de enero. "
2023,23/01/2023,DIV1,BR2,BIVER2,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Instalaci¢n de Bandera,Colombia,Magdalena,Remolino,Parque principal,"PRESENCIA: De 06 sujetos al parecer integrantes del GAO-CG, en el municipio de Remolino (Magdalena),  estos sujetos estar°an llegaron al parque principal de dicho municipio y salieron hacia el sector del cementerio donde dejaron una bandera alusiva a las AGC, en conmemoraci¢n de los 120 a§os de vida y lucha Gaitanistas cumplidos el d°a de hoy 23 de enero."
2023,23/01/2023,DIV1,CAFUE,BAADA1,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Instalaci¢n de Bandera,Colombia,La Guajira,Albania,vereda La Cortina ,"PROSELITISMO SUBVERSIVO Se tiene conocimiento por informaci¢n suministrada por personal de la REPARC, donde en la vereda La Cortina en la v°a que conduce hacia el casco municipal de Albania (La Guajira), la instalaci¢n de 03 banderas alusivas al Clan del Golfo. "
2023,23/01/2023,DIV1,BR2,BAMRU6,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Grafitis,Colombia,Magdalena,Fundaci¢n,sobre la v°a que conduce de Santa Rosa de Lima hacia el corregimiento de Santa Clara ,"GRAFITIS ALUSIVOS AGC: Mediante informaci¢n suministrada por fuente casual se tiene conocimiento del hallazgo de grafitis alusivos a las AGC sobre la v°a que conduce de Santa Rosa de Lima hacia el corregimiento de Santa Clara municipio de Fundaci¢n (Magdalena), en la cual al parecer expresan la conmemoraci¢n de los 120 a§os de vida y lucha Gaitanista cumplidos el d°a de hoy 23 de enero"
2023,23/01/2023,DIV1,BR10,BAEEV2,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Instalaci¢n de Bandera,Colombia,Cesar,Astrea,v°a Arjona ,"BANDERAS: Se tiene conocimiento por informaci¢n suministrada por personal de la REPARC, de banderas alusivas a las AGC en la v°a Arjona hacia el municipio de Astrea (Cesar), por conmemoraci¢n de los 120 a§os de las AGC."
2023,23/01/2023,DIV1,FTCMA,BASRO48,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Pancarta,Colombia,Bol°var,Noros°,el Polvillo ,"2023 PROSELITISMO: Siendo aproximadamente las 08:00 horas se recibe informaci¢n por parte de fuente humana  y comandante de pelot¢n BRIOSO 4 de la instalaci¢n de pancartas y distribuci¢n de panfletos alusivas al Grupo Armado Organizado Clan del Golfo por fecha conmemorativa del 23 de enero ?120 a§os de vida y lucha Gaitanistas?, las cuales fueron instaladas sobre las veredas del municipio de Noros° (Bol°var); el Polvillo en coordenadas aproximadas LN 08¯32'26.46""? LW74¯09'9.92"", Buena se§a en coordenadas aproximadas LN   08¯32'40.84""? LW  74¯05'54.64"" y Mina Brisa en coordenadas aproximadas LN  08¯27'46.94""? LW  74¯10'2.31"", igualmente sobre los corregimiento de µnimas Bajas del municipio de Simit° (Bol°var) en coordenadas aproximadas en coordenadas aproximadas LN 07¯45'51.04"" ? LW 73¯55'34?. Las unidades militares est†n realizando la verificaci¢n y quema de este material, con todas las medidas de seguridad"
2023,23/01/2023,DIV1,FTCMA,BINAR4,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Pancarta,Colombia,Bol°var,MaganguÇ,"MaganguÇ,","PROSELITISMO:  Por informaci¢n suministrada fuente humana se tiene conocimiento de la circulaci¢n de unos panfletos y pancartas alusivas a las Autodefensas Gaitanistas de Colombia sobre los municipios de MaganguÇ, Mompox, San Fernando, Margarita, Pinillos, Altos del Rosario, Ach°, Tiqu°sio, Montecristo, y otros departamentos como Cesar y Sucre las cuales conmemoran   los 120 a§os de la lucha Gaitanistas."
2023,23/01/2023,DIV1,BR10,GMRON2,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Instalaci¢n de Bandera,Colombia,La Guajira,San Juan del Cesar,Y de Pondores ,"PROSELITISMO: Se tiene conocimiento por informaci¢n suministrada por personal de la REPARC, del Proselitismo sobre el municipio de San Juan del Cesar (La Guajira), sector la Y de Pondores en coordenadas aproximadas LN 10¯43?26.49???LW 72¯58?23.46??,  sector Puente Guan†bano en coordenadas aproximadas LN 10¯50?28.17???LW 72¯56?39.02??, sector la Y del Tablazo en coordenadas aproximadas LN 10¯43?15.73???LW 72¯57?53.70??, donde se observaron Banderas alusivas a la AGC ?AUTODEFENSAS GAITANISTAS DE COLOMBIA? Las cuales fueron retiradas  luego de ser verificadas  con el grupo EXDE. "
2023,23/01/2023,DIV1,FTCMA,BASRO48,GAO-R FACCI‡N CALARCµ,BLOQUE MAGDALENA MEDIO,ESTRUCTURA 37 MARIO MORALES,Poblaci¢n Civil,Confrontaci¢n,GAOr Disidencias FARC y GAO CG,Colombia,Bol°var,Montecristo,sobre la vereda de Mina Choc¢ ,"CONFRONTACI‡N ARMADA: Mediante informaci¢n suministrada por comandante de la Base Militar San Lucas, Alcalde del municipio de Santa Rosa del Sur y fuente humana del sector, se confirma la confrontaci¢n armada al parecer entre integrantes del GAO?r E37 ?Mario Morales? y de la Subestructura ?Erl°n Pino Duarte? del GAO - Clan del Golfo sobre la vereda de Mina Choc¢ jurisdicci¢n del municipio Montecristo (Bol°var), en el momento se contin£an los enfrentamientos, al parecer el GAO?r E37 pretende bloquear el avance del GAO - Clan del Golfo para tener el control del territorio y de las econom°as il°citas."
2023,23/01/2023,DIV1,BR2,BIVER2,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Atl†ntico,Juan de Acosta,<Nulo>,"PANFLETO: Mediante recolecci¢n de informaci¢n t†ctica se logra tener conocimiento de la entrega de panfletos alusivos a las AGC, en el departamento de Atl†ntico municipio de Juan de Acosta, panfleto en el cual al parecer expresan la conmemoraci¢n de los 120 a§os de vida y lucha gaitanista cumplidos el d°a de hoy 23 de enero,"
2023,28/01/2023,DIV7,FTCAQ,BATOT24,GAO ELN,FG DRC,FT. COMPA•ERO TOMAS,Fuerza P£blica,Acci¢n Terrorista,A.E.I,Colombia,Antioquia,Zaragoza,VEGAS DE SEGOVIA ,"ACTIVACI‡N ARTEFACTO EXPLOSIVO GAO ELN FRENTE DE GUERRA DARIO RAMIREZ CASTRO  SEGÈN RADIOGRAMA NO. 2023-00739/MD-COEJC-DIV07-FTCAQ-BATOT24, AMPLIACI‡N (NO), EN CENTRO POBLADO VEGAS DE SEGOVIA DEL MUNICIPIO DE ZARAGOZA (ANTIOQUIA), EN COORDENADAS 7ß 28' 45"""""""" N - 75ß 3' 38"""""""" W, TROPAS DEL BATALL‡N DE OPERACIONES TERRESTRES N¯ 24 EN DESARROLLO DE LA L÷NEA DE OPERACIONES SIMON BOLIVAR, EN MARCO DE OPERACIONES ESTABILIDAD. EL EQUIPO EXDE DEL PELOT‡N BêLGICA 3 EN VERIFICACI‡N DE ARTEFACTOS EXPLOSIVOS IMPROVISADOS EL SE•OR SUBOFICIAL C3. MONTES RIA•O HELMUT HACE ALTO RETIRA PERSONAL DEL EQUIPO EXDE, SE ACTIVA EL µREA PREPARADA OCASIONANDO EL FALLECIMIENTO INMEDIATO, ACCI‡N REALIZADA POR INTEGRANTES GAO ELN COMPA•÷A COMPA•ERO TOMAS. , RESULTADOS: ASESINADO(A) POR ACCION DE MINAS - 1 PER(S) - SUBOFICIALES - EJERCITO - C3 MASCULINO HELMUTH EDISON MONTES RIA•O 1069760781 "
2023,28/01/2023,DIV5,BR13,GMTEQ10,GAO-R SEGUNDA MARQUETALIA,GAOR SEGUNDA MARQUETALIA,SIN ESTABLECER,Poblaci¢n Civil,Proselitismo,Panfleto,Colombia,Meta,San Juanito,µREA GENERAL,"Circulaci¢n de un panfleto alusivo a la GAOR SEGUNDA MARQUETALIA, el cual va dirigido a un habitante del sector manifest†ndole que ser† declarado objetivo militar si contin£a trasportando personal infiltrado. Asimismo, comunican a los pobladores de los municipios de F¢meque, Jun°n, Choach° (Cundinamarca) y los municipios de San Juanito y El Calvario (Meta), que siguen siendo una organizaci¢n armada con las mismas pol°ticas que han llevado por dÇcadas, forjando las banderas que les dejaron sus pr¢ceres Manuel Marulanda, Jorge Brice§o y Alfonso Cano."
2023,01/02/2023,DIV2,CAFUE,BAADA2,GAO ELN,FG DRC,FT. EDGAR AMILKAR GRIMALDO BAR‡N,Fuerza P£blica,Acci¢n Terrorista,A.E.I,Colombia,Antioquia,Yond¢,Casabe,"Al parecer integrantes del FGDRC GAO ELN, realizan lanzamiento de A.E el cual explota, en la BASMIL Casabe, municipio de Yond¢ (Ant), sin causar alguna afectaci¢n. 
"
2023,01/02/2023,DIV7,BR11,BAEEV5,GAO CLAN DEL GOLFO,E. ROBERTO VARGAS GUTIêRREZ,ULDAR CARDONA RUEDA,Enemigo,Retenci¢n ilegal,Integrante grupo armado,Colombia,Antioquia,Zaragoza,VEREDA 505,"Mediante informaci¢n suministrada por fuente humana ocasional, se tiene conocimiento de que al parecer sujetos integrantes del GAO Clan del Golfo, Subestructura Uldar Cardona Rueda, sobre la vereda La 505, jurisdicci¢n del Municipio de Zaragoza (Antioquia), en coordenadas aproximadas (7¯40'45.00""""""""N - 74¯48'32.00""""""""O), aduce la fuente que mencionados sujetos tendr°an retenido  al parecer a 03 integrantes del GDO Los del Bajo y est†n a la espera de la llegada de un cabecilla de la estructura para posteriormente tomar represalias contra estos."
