A§o,Fecha,Divisi¢n,Brigada,Unidad Reporta Informaci¢n,GAO,FG/BLOQUE/ESTRUCTURA,SE/CM/CP./FU/FT,Tipo de Afectaci¢n,Actividad,Tipo de Actividad,Pa°s,Departamento,Municipio,Vereda o Sitio,Informaci¢n
2023,04/04/2023,DIV1,BR2,BAMRU6,GAO CLAN DEL GOLFO,SIN ESTABLECER,SIN ESTABLECER,<Nulo>,Proselitismo,Grafitis,Colombia,Magdalena,Zona Bananera,corregimiento Tucurinca ,"GRAFITIS: Se tiene conocimiento del hallazgo de grafitis alusivos a las AGC sobre el corregimiento Tucurinca Municipio Zona Bananera (Magdalena), en coordenadas aproximadas N 10 38 40 W 74 09 45, en la cual est†n plasmados sobre vallas publicitarias. "
2023,04/04/2023,DIV3,COAPO,BAMJO8,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA DAGOBERTO RAMOS,Poblaci¢n Civil,Hostigamiento,Pelot¢n,Colombia,Cauca,Corinto,casco_urbano,"En el casco urbano del municipio de Corinto (Cauca), la unidad µguila 2, es hostigada mediante r†fagas fusil de la parte alta de las antenas, en el momento en que se encontraba borrando algunos letreros alusivos al GAO RESIDUAL E DRO."
2023,05/04/2023,DIV5,BR9,BATAM9,GAO-R SEGUNDA MARQUETALIA,GAOR SEGUNDA MARQUETALIA,ESTRUCTURA TE‡FILO FORERO,<Nulo>,Proselitismo,Panfleto,Colombia,Caquet†,San Vicente del Cagu†n,Balsillas,"05-ABR-2023: se tiene conocimiento de la distribuci¢n de un panfleto tipo boleta de citaci¢n con fecha (25-marzo-2023) en el corregimiento de Balsillas del municipio de San Vicente de Caguan (Caquet†) al parecer fue emitido aparentemente por una estructura armada autodenominada ?Columna Te¢filo Forero de las FARC EP Sonia la pilosa GAOR SEGUNDA MARQUETALIA?, desconociendo a que persona fue emitida, donde le manifiesta que debe de presentarse el dia 2 de abril en el sector de Puerto Amor municipio de San Vicente del Caguan (Caquet†), notificaci¢n que es firmada por el sujeto Jhon Tiempos. Fuente: BR-09. "
2023,05/04/2023,DIV5,BRIMI2,BAIMI5,GAO-R FACCI‡N CALARCµ,BLOQUE JORGE SUµREZ BRICE•O,ESTRUCTURA JORGE BRICE•O SUµREZ,<Nulo>,Proselitismo,Panfleto,Colombia,Huila,Tello,vereda de filoseco ,"05-ABRIL-2023 PANFLETO: Mediante informaci¢n obtenida mediante fuente humana, se tiene conocimiento sobre la existencia de un panfleto en el cual estar°an citando al ingeniero encargado de la v°a de la vereda San AndrÇs municipio de Tello (Huila), a una reuni¢n la cual se llevar† a acab¢ el d°a 06/04/2023 en la escuela de la vereda de filoseco, mencionado panfleto estar°a autorizado por Sergio Carvajal y suscrito por (a. Alexis) quien ser°a el responsable de las finanzas del GAO RESIDUAL Frente Dar°o GutiÇrrez. ?Bloque Jorge Suarez Brice§o?."
2023,05/04/2023,DIV7,BR14,BAEEV8,GAO-R FACCI‡N CALARCµ,BLOQUE MAGDALENA MEDIO,ESTRUCTURA 36,Poblaci¢n Civil,Confrontaci¢n,GAOr Disidencias FARC y GAO CG,Colombia,Antioquia,Segovia,EL SILENCIO,"05-ABR-2023 CONFRONTACION ARMADA: Mediante informaci¢n suministrada por fuente humana, se tiene conocimiento un enfrentamiento armado entre integrantes del GAO RESIDUALesidual Estructura 36 y GAO-Clan del Golfo S.E. Jorge Iv†n Arboleda GarcÇs en la vereda el Silencio del municipio de Segovia del departamento de Antioquia en coordenadas aproximadas   LN7¯10'8.89"""""""" LW74¯51'23.36"""""""" siendo aproximadamente las 11:00 horas, de donde posible mente estos integrantes de estas estructuras tiene un posible confrontaci¢n armada por el control de la zona y la extracci¢n de yacimiento mineros ilegales. EVAL C2 PROC BAEEV8"
2023,06/04/2023,DIV3,BR23,GMCAB3,GAO COMUNEROS DEL SUR,GAO COMUNEROS DEL SUR,CP. JOSê LUIS CABRERA RÈALES,Fuerza P£blica,Acci¢n Terrorista,Hostigamiento,Colombia,Nari§o,Ricaurte,Estaci¢n_de_polic°a_de_Ospina_PÇrez,"En la estaci¢n de polic°a de Ospina PÇrez municipio de Ricaurte (Nari§o), se present¢ hostigamiento 18:45 horas con fusil, desde 1 km de distancia, con duraci¢n de 5-10 minutos, por parte de integrantes del GAO ELN CP. JosÇ Luis Cabrera R£ales, Personal y material sin novedad."
2023,07/04/2023,DIV3,Medio Abiertos,Whatsapp,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA DAGOBERTO RAMOS,<Nulo>,Proselitismo,Panfleto,Colombia,Cauca,Corinto,CASCO_URBANO,"Se conoci¢ de la difusi¢n de un panfleto, entregado por redes sociales, con caracter°sticas que se asemejan al Comando Coordinador de Occidente, GAO RESIDUAL E-Dagoberto Ramos, donde manifiestan que a pesar de los diferentes comunicados y llamados que realizamos con la intenci¢n de sostener un di†logo. Ustedes se niegan a entender nuestro llamado, a creer en nuestra intenci¢n de paz y en lo delicado de los se§alamientos que hacen nuestras unidades de inteligencia hemos sido alertados sobre sus intenciones en nuestros territorios. En cabeza de Juan Fernando Lucio L¢pez siguen infiltrando nuestros territorios, y entregando informaci¢n mentirosa al Gobierno Colombiano y al Gobierno yanki con la £nica intenci¢n de afectar y debilitar a nuestra estructura."
2023,08/04/2023,DIV3,FUDRA4,BADRA12,GAO-R SEGUNDA MARQUETALIA,GAOR SEGUNDA MARQUETALIA,ESTRUCTURA DIOMER CORTES,<Nulo>,Proselitismo,Panfleto,Colombia,Cauca,Balboa,CASCO_URBANO,"Difusi¢n por redes sociales de 01 panfleto alusivo al Grupo Armado Organizado estructura Diomer CortÇs? GAOR SEGUNDA MARQUETALIA, en donde hacen referencia al secuestro y asesinato de un particular corresponder°a al nombre Herney Mu§oz al parecer l°der social de del corregimiento de la Planada jurisdicci¢n del municipio de Balboa (Cauca), de igual manera hacen referencia que dicho particular supuestamente fue asesinado por integrantes del GAO RESIDUAL estructura Carlos Pati§o. "
2023,08/04/2023,DIV2,BR5,BAACA2,GAO ELN,FG DRC,FT. EDGAR AMILKAR GRIMALDO BAR‡N,Fuerza P£blica,Acci¢n Terrorista,Granada de Mano,Colombia,Antioquia,Yond¢,BASMIL CASABE,"LANZAMIENTO ARTEFACTO EXPLOSIVO: siendo aproximadamente a las 02:15 horas el centinela observa en la v°a que conduce v°a paralela de la base militar de Yond¢ ? casabe y conecta al casco urbano hacia el sector conocido como la marranera una motocicleta con exceso de velocidad al pasar cerca de los per°metros de la Base fue lanzado un artefacto explosivo sin afectaciones al personal de la fuerza p£blica, dicha acci¢n al parecer la realizaron   integrantes de la (RAT)-Grupo Armado Organizado (GAO)-ELN Frente Edgar Amilkar Grimaldo Bar¢n. "
2023,09/04/2023,DIV3,Medio Abiertos,Whatsapp,GAO-R FACCI‡N MORDISCO,BLOQUE OCCIDENTAL,ESTRUCTURA  JAIME MART÷NEZ,<Nulo>,Proselitismo,Panfleto,Colombia,Valle del Cauca,Jamund°,CASCO_URBANO,"Se conoci¢ la difusi¢n de un panfleto por redes sociales, el d°a 09 de abril de 2023 y elaborado por el GAO RESIDUAL E-Jaime Mart°nez, donde manifiestan, que el d°a 8 de abril del a§o en curso, fue retenido el se§or STIVENSON L‡PEZ BARRIOS, identificado con cedula de ciudadan°a 1.192.789.542, en compa§°a de otras dos personas, en la vereda Villa Colombia, municipio de Jamund° (Valle del Cauca). En interrogatorio posterior se supo que el se§or STIVENSON L‡PEZ BARRIOS es un dragoneante (funcionario) activo del INPEC y que desarrolla su trabajo en la C†rcel de m†xima Seguridad de Jamund° (Valle del Cauca)."
2023,09/04/2023,DIV7,BR15,BATOT25,GAO ELN,FG OCCIDENTAL,FT. CACIQUE CALARCµ,<Nulo>,Proselitismo,Instalaci¢n de Bandera,Colombia,Choc¢,R°o Ir¢,V÷A SANTA BµRBARA ? CONDOTO ,"SIENDO APROXIMADAMENTE LAS 06:00, SE TIENE CONOCIMIENTO POR FUENTE HUMANA OCASIONAL DE LA INSTALACI‡N DE UNA BANDERA ALUSIVA AL GAO ELN EN LA V÷A SANTA BµRBARA ? CONDOTO MUNICIPIO SANTA RITA DEPARTAMENTO DEL CHOCO   EN COORDENADAS APROXIMADAS (LN 05¯11?5.12? ? LW 76¯28?27.78?), AL PARECER FUE INSTALADA POR INTEGRANTES DEL FRENTE CACIQUE CALARCµ DEL GAO ELN. "
2023,10/04/2023,DIV3,Medio Abiertos,Whatsapp,GAO ELN,FG SUROCCIDENTAL,SIN ESTABLECER,<Nulo>,Proselitismo,Panfleto,Colombia,Cauca,Rosas,CASCO-URBANO,"El d°a 10 de abril de 2023, se conoci¢ la difusi¢n de manera f°sica y por redes sociales, de un panfleto, alusivo al GAO ELN, en el †rea rural del municipio de Rosas (Cauca) y en la ciudad de Cali (Valle del Cauca), denominado ?COMUNIADO A LA OPINI‡N PÈBLICA?, dirigido a las comunidades que habitan, en el Suroccidente y el Pac°fico colombiano, refiriÇndose a los abusos, especialmente del racismo, que han afectado a esta regi¢n pac°fica, que es el motivo del levantamiento social y armado a nivel nacional, asesinato de l°deres, desplazamientos, delincuencia, abuso policial y militar, as° como la afectaci¢n al medio ambiente y cobros excesivos de peajes y fotomultas, que hacen parte de la problem†tica diaria de esta regi¢n. Vienen acusando al GAO ELN de las afectaciones a l°deres sociales y de combatir a los agentes del Estado; se hace un cuestionamiento a las propuestas de Paz Total del Gobierno Nacional e indican que el GAO ELN continuar† con su accionar insurgente y convoca a las comunidades para mantenerse en resistencia."
2023,10/04/2023,DIV3,BR29,BAMHE4,GAO ELN,FG SUROCCIDENTAL,FT. MANUEL VµSQUEZ CASTA•O,<Nulo>,Proselitismo,Pancarta,Colombia,Cauca,Rosas,vereda_CÇfiro,"En la vereda CÇfiro del municipio de Rosas (Cauca), tropas del Batall¢n de Alta Monta§a N¯ 4 Benjam°n Herrera, mediante seguridad de ruta puestos de control espor†dicos patrullaje preventivo disuasivo apoyo del grupo EXDE se ubica y se destruye 01 valla alusivas al GAO ELN FMVC."
2023,10/04/2023,DIV3,BR29,BAMHE4,GAO ELN,FG SUROCCIDENTAL,FT. MANUEL VµSQUEZ CASTA•O,<Nulo>,Proselitismo,Pancarta,Colombia,Cauca,La Sierra,vereda_Frontino,"En la vereda Frontino del municipio de La Sierra (Cauca), tropas del Batall¢n de Alta Monta§a N¯ 4 Benjam°n Herrera, ubica y destruye 01 vallas alusivas al GAO ELN."
2023,10/04/2023,DIV2,BR30,GMMAZ5,GAO ELN,FG URBANO NACIONAL,FT. URBANO CARLOS GERMAN VELAZCO VILLAMIZAR,Enemigo,Proselitismo,Panfleto,Colombia,Norte de Santander,C£cuta,Casco Urbano,"Se tiene conocimiento de un panfleto alusivo al Frente urbano Carlos German Velazco Villamizar del GAO ELN, posterior a la detonaci¢n de un paquete sospechoso por parte del Personal tÇcnico antiexplosivos de PONAL barrio La victoria del municipio de C£cuta - Norte de Santande"
2023,10/04/2023,DIV2,BR5,BAACA2,GAO ELN,FG URBANO NACIONAL,FT. URBANO RESISTENCIA YARIGU÷,Fuerza P£blica,Acci¢n Terrorista,A.E.I,Colombia,Santander,Barrancabermeja,casco urbano,"ARTEFACTO EXPLOSIVO (PANFLETO): Ubicado en el parque Camilo Torres del municipio de Barrancabermeja - Santander, en coordenadas aproximadas (LN  07¯03'42? LW  73¯51'12""""""""), el cual fue verificado y destruido por los tÇcnicos antiexplosivos de la polic°a nacional."
2023,10/04/2023,DIV3,BR29,BAMHE4,GAO ELN,FG SUROCCIDENTAL,SIN ESTABLECER,<Nulo>,Proselitismo,Panfleto,Colombia,Cauca,Rosas,vereda_El_Chontaduro,"Distribuci¢n de un panfleto alusivo al GAO ELN FGSO, en donde hace alarde de las pol°ticas del Gobierno Nacional y la pobreza del suroccidente colombiano."
2023,10/04/2023,DIV3,Medio Abiertos,Whatsapp,GAO-R SEGUNDA MARQUETALIA,GAOR SEGUNDA MARQUETALIA,ESTRUCTURA DIOMER CORTES,<Nulo>,Proselitismo,Panfleto,Colombia,Cauca,Balboa,CASCO_URBANO,"Se conoci¢ la difusi¢n de un panfleto por redes sociales, el d°a 07 de abril de 2023 y elaborado por el GAO RESIDUAL E-Diomer Cortes (SM), donde revelan, que el Comando Coordinador de Occidente al mando de Iv†n Mordisco arremete en contra de las comunidades y sus l°deres. Que pese a que dicho grupo en estos momentos ha establecido un cese al fuego con el Gobierno Nacional contin£an las acciones de terror en los territorios, demostrando con ello una voluntad de paz falsa e incoherente."
2023,11/04/2023,DIV3,BR3,BAMOG10,GAO ELN,FG OCCIDENTAL,FT. ERNESTO CHE GUEVARA,Poblaci¢n Civil,Proselitismo,Grafitis,Colombia,Valle del Cauca,Yotoco,Mirador_Mediacanoa,"Siendo aproximadamente las 07:10 horas del d°a 11 de abril del 2023, se evidencia la instalaci¢n de un grafiti con las letras ELN, ubicado entre los sitios conocidos como Mirador Mediacanoa y Alto de los Toros jurisdicci¢n del municipio de Yotoco (Valle del Cauca), al parecer instalado, por presuntos integrantes del GAO ELN frente Ernesto Che Guevara del FGOC."
2023,11/04/2023,DIV3,BR29,BILOP7,GAO ELN,FG SUROCCIDENTAL,FT. MANUEL VµSQUEZ CASTA•O,Poblaci¢n Civil,RetÇn Ilegal,Control Ilegitimo del Territorio,Colombia,Cauca,Caldono,El_RetÇn_de_las_Arepas,"Se conoci¢ de la realizaci¢n de un retÇn ilegal en el sector conocido como El RetÇn de las Arepas, municipio de Caldono en el Departamento del Cauca, por parte de aproximadamente 10 presuntos integrantes del GAO ELN."
2023,11/04/2023,DIV3,BR3,BAMOG10,GAO ELN,FG OCCIDENTAL,FT. ERNESTO CHE GUEVARA,<Nulo>,Proselitismo,Instalaci¢n de Bandera,Colombia,Valle del Cauca,Restrepo,vereda_La_Italia,"Siendo aproximadamente las 06:00 horas del d°a 11 de abril del 2023, se evidencia la instalaci¢n de una Bandera de color rojo y negro con letras en alto relieve con las letras ELN y grafitis alusiva a la estructura Frente Guerra Occidental Omar G¢mez en la vereda La Italia, entrada al municipio de Restrepo, se coordina con personal de inteligencia de Polic°a de carreteras, para realizar la respectiva destrucci¢n de la misma."
2023,11/04/2023,DIV3,BR3,BAMOG10,GAO ELN,FG OCCIDENTAL,FT. ERNESTO CHE GUEVARA,Poblaci¢n Civil,Proselitismo,Instalaci¢n de Bandera,Colombia,Valle del Cauca,Yotoco,Mirador_Mediacanoa,"Siendo aproximadamente las 07:05 horas del d°a 11 de abril del 2023, se evidencia la instalaci¢n de una bandera, de color rojo y negro, con letras en relieve ELN, la cual tambiÇn conten°a un grafiti: ?FRENTE DE GUERRA OCCIDENTAL OMAR GOMEZ? ubicada en el sitio conocido como Mirador Mediacanoa municipio de Yotoco (Valle del Cauca), en la v°a principal que comunica a Mediacanoa con Loboguerrero;"
